X,Y,NUME,JUDET,JUDET_AUTO,POPULATIE_(in_2002),REGIUNE
26.78,46.2,Buciumi,Bacau,BC,1474,Nord-Est
26.68,46.21,Bogdanesti,Bacau,BC,2033,Nord-Est
26.75,46.2,Casin,Bacau,BC,2644,Nord-Est
26.93,46.18,Caiuti,Bacau,BC,1533,Nord-Est
26.99,46.14,Cotofanesti,Bacau,BC,1090,Nord-Est
26.69,46.15,Manastirea_Casin,Bacau,BC,3923,Nord-Est
26.62,46.21,Oituz,Bacau,BC,6461,Nord-Est
26.58,46.2,Ferestrau-Oituz,Bacau,BC,1036,Nord-Est
27.11,46.21,Sascut,Bacau,BC,2420,Nord-Est
27.14,46.2,Beresti,Bacau,BC,1435,Nord-Est
27.07,46.21,Pancesti,Bacau,BC,2998,Nord-Est
27.07,46.19,Sascut-Sat,Bacau,BC,2178,Nord-Est
27.09,46.13,Urechesti,Bacau,BC,1729,Nord-Est
27.16,45.21,Galbenu,Braila,BR,1114,Sud-Est
27.05,45.38,Ramnicu_Sarat,Buzau,BZ,41405,Sud-Est
27.14,45.25,Balaceanu,Buzau,BZ,1726,Sud-Est
26.78,45.34,Izvoru_Dulce,Buzau,BZ,1093,Sud-Est
26.78,45.36,Valea_Parului,Buzau,BZ,1276,Sud-Est
26.68,45.29,Berca,Buzau,BZ,4000,Sud-Est
26.81,45.32,Blajani,Buzau,BZ,1085,Sud-Est
26.9,45.5,Buda,Buzau,BZ,1327,Sud-Est
26.32,45.25,Bascenii_de_Jos,Buzau,BZ,1830,Sud-Est
26.27,45.27,Bascenii_de_Sus,Buzau,BZ,1008,Sud-Est
26.25,45.32,Corbu,Buzau,BZ,1036,Sud-Est
26.76,45.26,Cernatesti,Buzau,BZ,1224,Sud-Est
26.76,45.28,Zarnestii_de_Slanic,Buzau,BZ,1333,Sud-Est
26.22,45.35,Chiojdu,Buzau,BZ,1128,Sud-Est
26.38,45.24,Cislau,Buzau,BZ,2210,Sud-Est
27.04,45.21,Cochirleanca,Buzau,BZ,2722,Sud-Est
27.21,45.27,Ghergheasa,Buzau,BZ,1393,Sud-Est
27.18,45.31,Salcioara,Buzau,BZ,1277,Sud-Est
26.98,45.38,Grebanu,Buzau,BZ,2093,Sud-Est
27.01,45.38,Plevna,Buzau,BZ,1360,Sud-Est
26.43,45.49,Gura_Teghii,Buzau,BZ,1032,Sud-Est
26.4,45.46,Furtunesti,Buzau,BZ,1109,Sud-Est
26.58,45.49,Lopatari,Buzau,BZ,1230,Sud-Est
26.58,45.28,Magura,Buzau,BZ,1445,Sud-Est
26.63,45.28,Unguriu,Buzau,BZ,2329,Sud-Est
26.3,45.42,Nehoiu,Buzau,BZ,6200,Sud-Est
26.34,45.45,Basca_Rozilei,Buzau,BZ,1352,Sud-Est
